sample,point,target_x,target_y,target_z,rtt_ms,success,err_norm,joints_j1,joints_j2,joints_j3,joints_j4,joints_j5,joints_j6
0,A,475.0,0.0,635.0,1.0777999996207654,,,0.0,0.0,0.0,0.0,0.0,0.0
1,B,475.0,0.0,635.0,1.0709999996834085,,,0.0,0.0,0.0,0.0,0.0,0.0
2,A,475.0,0.0,635.0,1.2748999997711508,,,0.0,0.0,0.0,0.0,0.0,0.0
3,B,475.0,0.0,635.0,1.3682999997399747,,,0.0,0.0,0.0,0.0,0.0,0.0
4,A,475.0,0.0,635.0,1.1148000003231573,,,0.0,0.0,0.0,0.0,0.0,0.0
5,B,475.0,0.0,635.0,1.2298999999984517,,,0.0,0.0,0.0,0.0,0.0,0.0
6,A,475.0,0.0,635.0,1.1443000003055204,,,0.0,0.0,0.0,0.0,0.0,0.0
7,B,475.0,0.0,635.0,1.2278000003789202,,,0.0,0.0,0.0,0.0,0.0,0.0
8,A,475.0,0.0,635.0,1.4446000004681991,,,0.0,0.0,0.0,0.0,0.0,0.0
9,B,475.0,0.0,635.0,1.9194999995306716,,,0.0,0.0,0.0,0.0,0.0,0.0
10,A,475.0,0.0,635.0,1.2793000005331123,,,0.0,0.0,0.0,0.0,0.0,0.0
11,B,475.0,0.0,635.0,1.1745000001610606,,,0.0,0.0,0.0,0.0,0.0,0.0
12,A,475.0,0.0,635.0,1.311600000008184,,,0.0,0.0,0.0,0.0,0.0,0.0
13,B,475.0,0.0,635.0,1.2214999997013365,,,0.0,0.0,0.0,0.0,0.0,0.0
14,A,475.0,0.0,635.0,1.4569000004485133,,,0.0,0.0,0.0,0.0,0.0,0.0
15,B,475.0,0.0,635.0,1.4784999993935344,,,0.0,0.0,0.0,0.0,0.0,0.0
16,A,475.0,0.0,635.0,1.2926999997944222,,,0.0,0.0,0.0,0.0,0.0,0.0
17,B,475.0,0.0,635.0,1.4767000002393615,,,0.0,0.0,0.0,0.0,0.0,0.0
18,A,475.0,0.0,635.0,1.3957000001028064,,,0.0,0.0,0.0,0.0,0.0,0.0
19,B,475.0,0.0,635.0,1.36819999988802,,,0.0,0.0,0.0,0.0,0.0,0.0
20,A,475.0,0.0,635.0,1.2301000006118556,,,0.0,0.0,0.0,0.0,0.0,0.0
21,B,475.0,0.0,635.0,1.4006999999764957,,,0.0,0.0,0.0,0.0,0.0,0.0
22,A,475.0,0.0,635.0,1.3361000001168577,,,0.0,0.0,0.0,0.0,0.0,0.0
23,B,475.0,0.0,635.0,1.2386999997033854,,,0.0,0.0,0.0,0.0,0.0,0.0
24,A,475.0,0.0,635.0,1.2437999994290294,,,0.0,0.0,0.0,0.0,0.0,0.0
25,B,475.0,0.0,635.0,1.3785000001007575,,,0.0,0.0,0.0,0.0,0.0,0.0
26,A,475.0,0.0,635.0,1.5631999995093793,,,0.0,0.0,0.0,0.0,0.0,0.0
27,B,475.0,0.0,635.0,1.284500000110711,,,0.0,0.0,0.0,0.0,0.0,0.0
28,A,475.0,0.0,635.0,1.6376999992644414,,,0.0,0.0,0.0,0.0,0.0,0.0
29,B,475.0,0.0,635.0,1.3315999995029415,,,0.0,0.0,0.0,0.0,0.0,0.0
30,A,475.0,0.0,635.0,1.3787999996566214,,,0.0,0.0,0.0,0.0,0.0,0.0
31,B,475.0,0.0,635.0,1.2827000000470434,,,0.0,0.0,0.0,0.0,0.0,0.0
32,A,475.0,0.0,635.0,1.2430000006133923,,,0.0,0.0,0.0,0.0,0.0,0.0
33,B,475.0,0.0,635.0,1.46139999924344,,,0.0,0.0,0.0,0.0,0.0,0.0
34,A,475.0,0.0,635.0,1.2880000003860914,,,0.0,0.0,0.0,0.0,0.0,0.0
35,B,475.0,0.0,635.0,1.1856000000989297,,,0.0,0.0,0.0,0.0,0.0,0.0
36,A,475.0,0.0,635.0,1.339899999948102,,,0.0,0.0,0.0,0.0,0.0,0.0
37,B,475.0,0.0,635.0,1.3363999996727216,,,0.0,0.0,0.0,0.0,0.0,0.0
38,A,475.0,0.0,635.0,1.5042000004541478,,,0.0,0.0,0.0,0.0,0.0,0.0
39,B,475.0,0.0,635.0,1.2865999997302424,,,0.0,0.0,0.0,0.0,0.0,0.0
40,A,475.0,0.0,635.0,1.245800000106101,,,0.0,0.0,0.0,0.0,0.0,0.0
41,B,475.0,0.0,635.0,1.3884999998481362,,,0.0,0.0,0.0,0.0,0.0,0.0
42,A,475.0,0.0,635.0,1.5947000001688139,,,0.0,0.0,0.0,0.0,0.0,0.0
43,B,475.0,0.0,635.0,1.2568000001920154,,,0.0,0.0,0.0,0.0,0.0,0.0
44,A,475.0,0.0,635.0,1.237299999957031,,,0.0,0.0,0.0,0.0,0.0,0.0
45,B,475.0,0.0,635.0,1.245599999492697,,,0.0,0.0,0.0,0.0,0.0,0.0
46,A,475.0,0.0,635.0,1.4783999995415797,,,0.0,0.0,0.0,0.0,0.0,0.0
47,B,475.0,0.0,635.0,1.372599999740487,,,0.0,0.0,0.0,0.0,0.0,0.0
48,A,475.0,0.0,635.0,1.266399999622081,,,0.0,0.0,0.0,0.0,0.0,0.0
49,B,475.0,0.0,635.0,1.2989000006200513,,,0.0,0.0,0.0,0.0,0.0,0.0
50,A,475.0,0.0,635.0,1.3699999999516876,,,0.0,0.0,0.0,0.0,0.0,0.0
51,B,475.0,0.0,635.0,1.3128999999025837,,,0.0,0.0,0.0,0.0,0.0,0.0
52,A,475.0,0.0,635.0,1.2709000002359971,,,0.0,0.0,0.0,0.0,0.0,0.0
53,B,475.0,0.0,635.0,1.2229000003571855,,,0.0,0.0,0.0,0.0,0.0,0.0
54,A,475.0,0.0,635.0,1.5217000000120606,,,0.0,0.0,0.0,0.0,0.0,0.0
55,B,475.0,0.0,635.0,1.3878999998269137,,,0.0,0.0,0.0,0.0,0.0,0.0
56,A,475.0,0.0,635.0,1.2933999996675993,,,0.0,0.0,0.0,0.0,0.0,0.0
57,B,475.0,0.0,635.0,1.2501000001066132,,,0.0,0.0,0.0,0.0,0.0,0.0
58,A,475.0,0.0,635.0,1.6690000002199668,,,0.0,0.0,0.0,0.0,0.0,0.0
59,B,475.0,0.0,635.0,1.3007000006837188,,,0.0,0.0,0.0,0.0,0.0,0.0
60,A,475.0,0.0,635.0,1.2754999997923733,,,0.0,0.0,0.0,0.0,0.0,0.0
61,B,475.0,0.0,635.0,1.2882000000900007,,,0.0,0.0,0.0,0.0,0.0,0.0
62,A,475.0,0.0,635.0,1.4290999997683684,,,0.0,0.0,0.0,0.0,0.0,0.0
63,B,475.0,0.0,635.0,1.2569999998959247,,,0.0,0.0,0.0,0.0,0.0,0.0
64,A,475.0,0.0,635.0,1.2772999998560408,,,0.0,0.0,0.0,0.0,0.0,0.0
65,B,475.0,0.0,635.0,1.3313999997990322,,,0.0,0.0,0.0,0.0,0.0,0.0
66,A,475.0,0.0,635.0,1.387799999974959,,,0.0,0.0,0.0,0.0,0.0,0.0
67,B,475.0,0.0,635.0,1.2863999991168384,,,0.0,0.0,0.0,0.0,0.0,0.0
68,A,475.0,0.0,635.0,1.3470000003508176,,,0.0,0.0,0.0,0.0,0.0,0.0
69,B,475.0,0.0,635.0,1.313099999606493,,,0.0,0.0,0.0,0.0,0.0,0.0
70,A,475.0,0.0,635.0,1.3127000001986744,,,0.0,0.0,0.0,0.0,0.0,0.0
71,B,475.0,0.0,635.0,1.2810999996872852,,,0.0,0.0,0.0,0.0,0.0,0.0
